Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.224,0.261
custom|arc:easy|0,0.532,0.511
custom|commonsense_qa|0,0.284,0.283
custom|hellaswag|0,0.314,0.33
custom|mmlu:abstract_algebra|0,0.22,0.24
custom|mmlu:anatomy|0,0.3037037037037037,0.34074074074074073
custom|mmlu:astronomy|0,0.24342105263157895,0.3355263157894737
custom|mmlu:business_ethics|0,0.46,0.4
custom|mmlu:clinical_knowledge|0,0.2339622641509434,0.3320754716981132
custom|mmlu:college_biology|0,0.2986111111111111,0.3125
custom|mmlu:college_chemistry|0,0.22,0.23
custom|mmlu:college_computer_science|0,0.27,0.28
custom|mmlu:college_mathematics|0,0.13,0.2
custom|mmlu:college_medicine|0,0.24277456647398843,0.2138728323699422
custom|mmlu:college_physics|0,0.1568627450980392,0.17647058823529413
custom|mmlu:computer_security|0,0.23,0.3
custom|mmlu:conceptual_physics|0,0.3148936170212766,0.2297872340425532
custom|mmlu:econometrics|0,0.18421052631578946,0.23684210526315788
custom|mmlu:electrical_engineering|0,0.2620689655172414,0.3103448275862069
custom|mmlu:elementary_mathematics|0,0.25396825396825395,0.24867724867724866
custom|mmlu:formal_logic|0,0.2857142857142857,0.24603174603174602
custom|mmlu:global_facts|0,0.23,0.25
custom|mmlu:high_school_biology|0,0.25483870967741934,0.3096774193548387
custom|mmlu:high_school_chemistry|0,0.1724137931034483,0.22167487684729065
custom|mmlu:high_school_computer_science|0,0.22,0.3
custom|mmlu:high_school_european_history|0,0.24848484848484848,0.3515151515151515
custom|mmlu:high_school_geography|0,0.25757575757575757,0.3383838383838384
custom|mmlu:high_school_government_and_politics|0,0.3160621761658031,0.3160621761658031
custom|mmlu:high_school_macroeconomics|0,0.24102564102564103,0.2717948717948718
custom|mmlu:high_school_mathematics|0,0.15555555555555556,0.18888888888888888
custom|mmlu:high_school_microeconomics|0,0.25210084033613445,0.36134453781512604
custom|mmlu:high_school_physics|0,0.24503311258278146,0.2913907284768212
custom|mmlu:high_school_psychology|0,0.3798165137614679,0.326605504587156
custom|mmlu:high_school_statistics|0,0.2638888888888889,0.2916666666666667
custom|mmlu:high_school_us_history|0,0.28921568627450983,0.3382352941176471
custom|mmlu:high_school_world_history|0,0.25738396624472576,0.2911392405063291
custom|mmlu:human_aging|0,0.39461883408071746,0.29596412556053814
custom|mmlu:human_sexuality|0,0.3282442748091603,0.3435114503816794
custom|mmlu:international_law|0,0.1322314049586777,0.2644628099173554
custom|mmlu:jurisprudence|0,0.23148148148148148,0.3148148148148148
custom|mmlu:logical_fallacies|0,0.25766871165644173,0.3067484662576687
custom|mmlu:machine_learning|0,0.32142857142857145,0.25892857142857145
custom|mmlu:management|0,0.27184466019417475,0.3300970873786408
custom|mmlu:marketing|0,0.3504273504273504,0.34615384615384615
custom|mmlu:medical_genetics|0,0.31,0.33
custom|mmlu:miscellaneous|0,0.3486590038314176,0.32567049808429116
custom|mmlu:moral_disputes|0,0.2254335260115607,0.2023121387283237
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.2737430167597765
custom|mmlu:nutrition|0,0.24509803921568626,0.2973856209150327
custom|mmlu:philosophy|0,0.2572347266881029,0.2797427652733119
custom|mmlu:prehistory|0,0.3333333333333333,0.25617283950617287
custom|mmlu:professional_accounting|0,0.2695035460992908,0.23049645390070922
custom|mmlu:professional_law|0,0.243,0.256
custom|mmlu:professional_medicine|0,0.2647058823529412,0.28308823529411764
custom|mmlu:professional_psychology|0,0.2679738562091503,0.25980392156862747
custom|mmlu:public_relations|0,0.37272727272727274,0.24545454545454545
custom|mmlu:security_studies|0,0.32653061224489793,0.24897959183673468
custom|mmlu:sociology|0,0.24875621890547264,0.24875621890547264
custom|mmlu:us_foreign_policy|0,0.29,0.25
custom|mmlu:virology|0,0.2469879518072289,0.30120481927710846
custom|mmlu:world_religions|0,0.27485380116959063,0.3333333333333333
custom|openbookqa|0,0.166,0.294
custom|piqa|0,0.621,0.633
custom|siqa|0,0.362,0.407
custom|winogrande|0,0.512,0.511
custom|arc:_average|0,0.378,0.386
custom|mmlu:_average|0,0.26568979768125195,0.2835802364260628
all,0.2793741302743286,0.29837036117362425
