Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.19,0.244
custom|arc:easy|0,0.4,0.396
custom|commonsense_qa|0,0.194,0.242
custom|hellaswag|0,0.274,0.278
custom|mmlu:abstract_algebra|0,0.2,0.18
custom|mmlu:anatomy|0,0.2518518518518518,0.24444444444444444
custom|mmlu:astronomy|0,0.21710526315789475,0.3223684210526316
custom|mmlu:business_ethics|0,0.34,0.29
custom|mmlu:clinical_knowledge|0,0.24528301886792453,0.3320754716981132
custom|mmlu:college_biology|0,0.2916666666666667,0.2569444444444444
custom|mmlu:college_chemistry|0,0.23,0.2
custom|mmlu:college_computer_science|0,0.26,0.24
custom|mmlu:college_mathematics|0,0.18,0.22
custom|mmlu:college_medicine|0,0.30057803468208094,0.2658959537572254
custom|mmlu:college_physics|0,0.19607843137254902,0.20588235294117646
custom|mmlu:computer_security|0,0.22,0.29
custom|mmlu:conceptual_physics|0,0.2765957446808511,0.225531914893617
custom|mmlu:econometrics|0,0.23684210526315788,0.20175438596491227
custom|mmlu:electrical_engineering|0,0.23448275862068965,0.2827586206896552
custom|mmlu:elementary_mathematics|0,0.21428571428571427,0.21693121693121692
custom|mmlu:formal_logic|0,0.3333333333333333,0.2619047619047619
custom|mmlu:global_facts|0,0.24,0.26
custom|mmlu:high_school_biology|0,0.25483870967741934,0.2870967741935484
custom|mmlu:high_school_chemistry|0,0.19704433497536947,0.22660098522167488
custom|mmlu:high_school_computer_science|0,0.19,0.24
custom|mmlu:high_school_european_history|0,0.23636363636363636,0.34545454545454546
custom|mmlu:high_school_geography|0,0.26262626262626265,0.2878787878787879
custom|mmlu:high_school_government_and_politics|0,0.25906735751295334,0.2849740932642487
custom|mmlu:high_school_macroeconomics|0,0.2205128205128205,0.26153846153846155
custom|mmlu:high_school_mathematics|0,0.16666666666666666,0.2037037037037037
custom|mmlu:high_school_microeconomics|0,0.2184873949579832,0.3025210084033613
custom|mmlu:high_school_physics|0,0.2847682119205298,0.2582781456953642
custom|mmlu:high_school_psychology|0,0.28256880733944956,0.26605504587155965
custom|mmlu:high_school_statistics|0,0.24074074074074073,0.3287037037037037
custom|mmlu:high_school_us_history|0,0.2549019607843137,0.31862745098039214
custom|mmlu:high_school_world_history|0,0.21518987341772153,0.2320675105485232
custom|mmlu:human_aging|0,0.336322869955157,0.27802690582959644
custom|mmlu:human_sexuality|0,0.366412213740458,0.3435114503816794
custom|mmlu:international_law|0,0.10743801652892562,0.23140495867768596
custom|mmlu:jurisprudence|0,0.18518518518518517,0.24074074074074073
custom|mmlu:logical_fallacies|0,0.26993865030674846,0.3312883435582822
custom|mmlu:machine_learning|0,0.26785714285714285,0.21428571428571427
custom|mmlu:management|0,0.20388349514563106,0.30097087378640774
custom|mmlu:marketing|0,0.2692307692307692,0.2564102564102564
custom|mmlu:medical_genetics|0,0.19,0.29
custom|mmlu:miscellaneous|0,0.26947637292464877,0.25798212005108556
custom|mmlu:moral_disputes|0,0.21676300578034682,0.1994219653179191
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.27262569832402234
custom|mmlu:nutrition|0,0.22875816993464052,0.2777777777777778
custom|mmlu:philosophy|0,0.2282958199356913,0.2508038585209003
custom|mmlu:prehistory|0,0.24074074074074073,0.16666666666666666
custom|mmlu:professional_accounting|0,0.2695035460992908,0.2553191489361702
custom|mmlu:professional_law|0,0.242,0.25
custom|mmlu:professional_medicine|0,0.2536764705882353,0.26838235294117646
custom|mmlu:professional_psychology|0,0.272875816993464,0.27124183006535946
custom|mmlu:public_relations|0,0.2636363636363636,0.15454545454545454
custom|mmlu:security_studies|0,0.31020408163265306,0.20816326530612245
custom|mmlu:sociology|0,0.23383084577114427,0.22388059701492538
custom|mmlu:us_foreign_policy|0,0.25,0.24
custom|mmlu:virology|0,0.23493975903614459,0.2891566265060241
custom|mmlu:world_religions|0,0.15204678362573099,0.19883040935672514
custom|openbookqa|0,0.13,0.264
custom|piqa|0,0.573,0.57
custom|siqa|0,0.355,0.379
custom|winogrande|0,0.482,0.489
custom|arc:_average|0,0.29500000000000004,0.32
custom|mmlu:_average|0,0.24303306397795332,0.25634086351194324
all,0.2530905330268206,0.2688219880027811
